state,pollster,start_date,end_date,sample_size,Trump,Harris,Other
Alaska,Alaska Survey Research,2024-10-20,2024-10-22,1703.0,53.0,44.0,3.0
Alaska,Alaska Survey Research,2024-10-08,2024-10-09,1254.0,52.0,44.5,3.5
Alaska,Alaska Survey Research,2024-09-11,2024-09-12,1254.0,47.0,42.0,11.0
Alaska,Alaska Survey Research,2024-09-27,2024-09-29,1182.0,52.0,43.0,5.0
Alaska,Cygnal,2024-08-30,2024-09-01,400.0,53.0,43.1,3.8999999999999986
Arizona,ActiVote,2024-09-06,2024-10-08,400.0,50.7,49.3,0.0
Arizona,AtlasIntel,2024-10-12,2024-10-17,1440.0,49.2,48.95,1.8499999999999943
Arizona,AtlasIntel,2024-10-25,2024-10-29,1458.0,50.7,46.849999999999994,2.450000000000003
Arizona,AtlasIntel,2024-09-20,2024-09-25,946.0,49.75,48.6,1.6499999999999986
Arizona,Beacon/Shaw,2024-09-20,2024-09-24,764.0,50.5,47.5,2.0
Arizona,Beacon/Shaw,2024-09-20,2024-09-24,1021.0,49.5,47.5,3.0
Arizona,Beacon/Shaw,2024-08-23,2024-08-26,1014.0,48.0,49.0,3.0
Arizona,Benenson Strategy Group/GS Strategy Group,2024-07-26,2024-08-02,435.0,44.0,47.0,9.0
Arizona,Benenson Strategy Group/GS Strategy Group,2024-09-19,2024-09-25,409.0,47.5,50.0,2.5
Arizona,CES / YouGov,2024-10-01,2024-10-25,2066.0,51.0,47.0,2.0
Arizona,CES / YouGov,2024-10-01,2024-10-25,2077.0,49.0,49.0,2.0
Arizona,CNN/SSRS,2024-08-23,2024-08-29,682.0,49.0,44.0,7.0
Arizona,CNN/SSRS,2024-10-21,2024-10-26,781.0,47.0,48.0,5.0
Arizona,Data Orbital,2024-10-26,2024-10-28,550.0,49.7,41.9,8.399999999999999
Arizona,Data Orbital,2024-09-07,2024-09-09,550.0,46.2,46.0,7.799999999999997
Arizona,Emerson,2024-09-27,2024-09-28,920.0,51.7,47.6,0.6999999999999957
Arizona,Emerson,2024-10-05,2024-10-08,1000.0,50.5,48.2,1.2999999999999972
Arizona,Emerson,2024-07-22,2024-07-23,800.0,50.05,43.599999999999994,6.3500000000000085
Arizona,Emerson,2024-08-25,2024-08-28,720.0,51.2,47.5,1.2999999999999972
Arizona,Emerson,2024-09-15,2024-09-18,868.0,49.8,48.7,1.5
Arizona,Fabrizio/GBAO,2024-09-28,2024-10-08,600.0,45.5,47.5,7.0
Arizona,Fabrizio/Impact,2024-09-24,2024-10-01,600.0,49.5,47.5,3.0
Arizona,Fabrizio/McLaughlin,2024-10-06,2024-10-09,800.0,49.0,46.0,5.0
Arizona,Focaldata,2024-08-06,2024-08-16,702.0,47.76666666666667,45.166666666666664,7.066666666666663
Arizona,Focaldata,2024-09-03,2024-09-16,1097.0,47.475,50.525,2.0
Arizona,Global Strategy Group/North Star Opinion Research,2024-09-23,2024-09-29,400.0,47.0,47.5,5.5
Arizona,HighGround,2024-10-19,2024-10-20,400.0,46.8,46.2,7.0
Arizona,HighGround,2024-07-30,2024-08-05,500.0,41.6,44.4,14.0
Arizona,HighGround,2024-09-26,2024-09-29,500.0,45.4,47.6,7.0
Arizona,InsiderAdvantage,2024-10-19,2024-10-20,800.0,49.5,47.0,3.5
Arizona,InsiderAdvantage,2024-08-29,2024-08-31,800.0,48.6,48.4,3.0
Arizona,InsiderAdvantage,2024-09-29,2024-09-30,800.0,49.1,47.7,3.1999999999999957
Arizona,Iron Light,2024-07-29,2024-08-05,600.0,43.0,43.0,14.0
Arizona,Marist,2024-09-19,2024-09-24,1264.0,50.0,49.0,1.0
Arizona,Marist,2024-09-19,2024-09-24,1416.0,50.0,48.0,2.0
Arizona,Marist,2024-10-17,2024-10-22,1193.0,50.0,49.0,1.0
Arizona,Marist,2024-10-17,2024-10-22,1329.0,49.0,49.0,2.0
Arizona,Morning Consult,2024-08-30,2024-09-08,901.0,49.05,46.89,4.060000000000002
Arizona,Morning Consult,2024-08-23,2024-08-27,776.0,47.5,48.5,4.0
Arizona,Morning Consult,2024-08-23,2024-08-27,805.0,47.5,48.5,4.0
Arizona,Morning Consult,2024-09-19,2024-09-25,926.0,46.5,49.5,4.0
Arizona,Morning Consult,2024-09-19,2024-09-25,977.0,46.5,49.5,4.0
Arizona,Morning Consult,2024-10-06,2024-10-15,653.0,48.0,49.0,3.0
Arizona,Morning Consult,2024-10-16,2024-10-20,861.0,48.5,48.5,3.0
Arizona,Morning Consult,2024-10-16,2024-10-20,915.0,48.5,48.5,3.0
Arizona,Morning Consult,2024-07-24,2024-07-28,804.0,45.5,48.5,6.0
Arizona,Morning Consult,2024-09-09,2024-09-18,862.0,47.35,48.37,4.280000000000001
Arizona,National Research,2024-09-25,2024-09-29,600.0,46.0,47.0,7.0
Arizona,Navigator,2024-07-31,2024-08-08,600.0,47.5,45.5,7.0
Arizona,Noble Predictive Insights,2024-08-12,2024-08-16,1003.0,45.5,43.5,11.0
Arizona,OnMessage Inc.,2024-09-24,2024-10-02,500.0,47.0,45.0,8.0
Arizona,PPP,2024-07-29,2024-07-30,618.0,49.0,47.0,4.0
Arizona,Patriot Polling,2024-09-01,2024-09-03,804.0,48.5,46.9,4.600000000000001
Arizona,Peak Insights,2024-07-31,2024-08-05,800.0,44.0,42.0,14.0
Arizona,Public Opinion Strategies,2024-07-23,2024-07-29,400.0,48.0,43.0,9.0
Arizona,RABA Research,2024-10-25,2024-10-27,589.0,43.0,45.0,12.0
Arizona,RMG Research,2024-09-30,2024-10-02,783.0,50.0,46.0,4.0
Arizona,Redfield & Wilton Strategies,2024-10-20,2024-10-22,710.0,48.0,46.0,6.0
Arizona,Redfield & Wilton Strategies,2024-09-27,2024-10-02,555.0,48.0,47.0,5.0
Arizona,Redfield & Wilton Strategies,2024-09-06,2024-09-09,765.0,47.0,46.0,7.0
Arizona,Redfield & Wilton Strategies,2024-10-12,2024-10-14,1141.0,48.0,46.0,6.0
Arizona,Redfield & Wilton Strategies,2024-10-25,2024-10-27,901.0,49.0,47.0,4.0
Arizona,Redfield & Wilton Strategies,2024-07-22,2024-07-24,510.0,46.0,43.0,11.0
Arizona,Redfield & Wilton Strategies,2024-08-25,2024-08-28,530.0,46.0,45.0,9.0
Arizona,Redfield & Wilton Strategies,2024-10-16,2024-10-18,691.0,49.0,46.0,5.0
Arizona,Redfield & Wilton Strategies,2024-07-31,2024-08-03,567.0,43.0,44.0,13.0
Arizona,Redfield & Wilton Strategies,2024-08-12,2024-08-15,592.0,44.0,43.0,13.0
Arizona,Redfield & Wilton Strategies,2024-09-16,2024-09-19,789.0,47.0,47.0,6.0
Arizona,Siena/NYT,2024-10-07,2024-10-10,808.0,50.25,45.0,4.75
Arizona,Siena/NYT,2024-08-08,2024-08-15,677.0,43.75,47.75,8.5
Arizona,Siena/NYT,2024-09-17,2024-09-21,713.0,48.5,43.75,7.75
Arizona,SoCal Strategies,2024-10-05,2024-10-07,735.0,47.8,48.7,3.5
Arizona,Spry Strategies,2024-08-14,2024-08-20,600.0,47.55,46.85,5.600000000000001
Arizona,Strategies 360,2024-08-07,2024-08-14,400.0,46.0,47.0,7.0
Arizona,Suffolk,2024-09-19,2024-09-24,500.0,48.4,42.4,9.200000000000003
Arizona,TIPP,2024-09-03,2024-09-05,949.0,47.25,47.4,5.350000000000001
Arizona,TIPP,2024-09-03,2024-09-05,1015.0,45.849999999999994,45.9,8.250000000000007
Arizona,Trafalgar Group,2024-09-11,2024-09-12,1088.0,47.1,45.5,7.399999999999999
Arizona,Trafalgar Group,2024-08-06,2024-08-08,1092.0,47.7,46.5,5.799999999999997
Arizona,Trafalgar Group,2024-10-10,2024-10-13,1090.0,47.5,46.0,6.5
Arizona,Trafalgar Group,2024-10-24,2024-10-26,1094.0,48.1,46.0,5.899999999999999
Arizona,U. Arizona/TrueDot,2024-10-12,2024-10-20,846.0,45.48,46.15,8.370000000000005
Arizona,U. Arizona/TrueDot,2024-08-28,2024-08-31,1155.0,45.75,41.8,12.450000000000003
Arizona,Washington Post/George Mason University,2024-09-30,2024-10-15,580.0,49.5,45.0,5.5
